,Model,Subsystem,pvalue,ReactionRatio
257,DEN_Tumour_WD,Pentose phosphate pathway,0.20375808701678597,0.8571428571428571
258,DEN_Tumour_WD,Cysteine and methionine metabolism,0.20375808701678597,0.8571428571428571
259,DEN_Tumour_WD,Lysine metabolism,0.08640706521494121,1.0
260,DEN_Tumour_WD,NAD metabolism,0.2749918305297014,0.6666666666666666
261,DEN_Tumour_WD,Purine metabolism,0.13707672040136562,0.5
262,DEN_Tumour_WD,Artificial reactions,0.26277217092775057,0.8333333333333334
263,DEN_Tumour_WD,"Alanine, aspartate and glutamate metabolism",0.3084283371966414,0.7142857142857143
264,DEN_Tumour_WD,Fatty acid desaturation,0.13020242703614499,1.0
265,DEN_Tumour_WD,Miscellaneous,0.20624387289734514,0.5555555555555556
266,DEN_Tumour_WD,Histidine metabolism,0.19604511223454182,1.0
267,DEN_Tumour_WD,"Glycine, serine, alanine, and threonine metabolism",0.10241723073260674,0.4444444444444444
268,DEN_Tumour_WD,Galactose metabolism,0.32921342599128894,0.8
269,DEN_Tumour_WD,Omega-6 fatty acid metabolism,0.003123907876328991,0.2857142857142857
270,DEN_Tumour_WD,Folate metabolism,0.2949587824980605,1.0
271,DEN_Tumour_WD,Sphingolipid metabolism,0.2949587824980605,1.0
272,DEN_Tumour_WD,Oxidative phosphorylation,0.33070985065479436,0.6
273,DEN_Tumour_WD,Arginine and proline metabolism,0.33070985065479436,0.6
274,DEN_Tumour_WD,Pool reactions,0.33070985065479436,0.6
275,DEN_Tumour_WD,Cholesterol metabolism,0.4454479572422535,0.6666666666666666
276,DEN_Tumour_WD,ROS detoxification,0.29741389290185005,0.5
277,DEN_Tumour_WD,Sulfur metabolism,0.4434414349120537,1.0
278,DEN_Tumour_WD,Propanoate metabolism,0.16497997084816896,0.4
279,DEN_Tumour_WD,Inositol phosphate metabolism,0.29741389290185005,0.5
280,DEN_Tumour_WD,Acylglycerides metabolism,0.4454479572422535,0.6666666666666666
281,DEN_Tumour_WD,Glycerolipid metabolism,0.038029601584832734,0.2857142857142857
282,DEN_Tumour_WD,Fructose and Mannose metabolism,0.4434414349120537,1.0
283,DEN_Tumour_WD,Butanoate metabolism,0.6661654135331772,1.0
284,DEN_Tumour_WD,Tetrahydrobiopterin metabolism,0.6661654135331772,1.0
285,DEN_Tumour_WD,Carnitine shuttle (peroxisomal),0.6661654135331772,1.0
286,DEN_Tumour_WD,Biopterin metabolism,0.6661654135331772,1.0
287,DEN_Tumour_WD,Tyrosine metabolism,0.6661654135331772,1.0
288,DEN_Tumour_WD,Steroid metabolism,0.6661654135331772,1.0
289,DEN_Tumour_WD,"Transport, nuclear",0.6661654135331772,1.0
